millis,stamp,datetime,moisture
107999, 1535053040, 2018/8/23 19:37:20, 244
108999, 1535053041, 2018/8/23 19:37:21, 263
109999, 1535053042, 2018/8/23 19:37:22, 14
110999, 1535053043, 2018/8/23 19:37:23, 26
112000, 1535053044, 2018/8/23 19:37:24, 14
113000, 1535053045, 2018/8/23 19:37:25, 31
113999, 1535053046, 2018/8/23 19:37:26, 0
114999, 1535053047, 2018/8/23 19:37:27, 183
115999, 1535053048, 2018/8/23 19:37:28, 299
116999, 1535053049, 2018/8/23 19:37:29, 307
117999, 1535053050, 2018/8/23 19:37:30, 422
118999, 1535053051, 2018/8/23 19:37:31, 428
119999, 1535053052, 2018/8/23 19:37:32, 431
120999, 1535053053, 2018/8/23 19:37:33, 365
121999, 1535053054, 2018/8/23 19:37:34, 328
122999, 1535053055, 2018/8/23 19:37:35, 424
123999, 1535053056, 2018/8/23 19:37:36, 438
124999, 1535053057, 2018/8/23 19:37:37, 441
126000, 1535053058, 2018/8/23 19:37:38, 440
126999, 1535053059, 2018/8/23 19:37:39, 438
128000, 1535053060, 2018/8/23 19:37:40, 437
128999, 1535053061, 2018/8/23 19:37:41, 438
129999, 1535053062, 2018/8/23 19:37:42, 439
130999, 1535053063, 2018/8/23 19:37:43, 434
131999, 1535053064, 2018/8/23 19:37:44, 378
132999, 1535053065, 2018/8/23 19:37:45, 316
133999, 1535053066, 2018/8/23 19:37:46, 217
135000, 1535053067, 2018/8/23 19:37:47, 79
135999, 1535053068, 2018/8/23 19:37:48, 107
136999, 1535053069, 2018/8/23 19:37:49, 124
137999, 1535053070, 2018/8/23 19:37:50, 9
138999, 1535053071, 2018/8/23 19:37:51, 0
139999, 1535053072, 2018/8/23 19:37:52, 367
140999, 1535053073, 2018/8/23 19:37:53, 450
141999, 1535053074, 2018/8/23 19:37:54, 456
142999, 1535053075, 2018/8/23 19:37:55, 471
144000, 1535053076, 2018/8/23 19:37:56, 469
145000, 1535053077, 2018/8/23 19:37:57, 473
145999, 1535053078, 2018/8/23 19:37:58, 479
146999, 1535053079, 2018/8/23 19:37:59, 472
147999, 1535053080, 2018/8/23 19:38:0, 471
148999, 1535053081, 2018/8/23 19:38:1, 462
149999, 1535053082, 2018/8/23 19:38:2, 416
150999, 1535053083, 2018/8/23 19:38:3, 359
151999, 1535053084, 2018/8/23 19:38:4, 340
153000, 1535053085, 2018/8/23 19:38:5, 339
153999, 1535053086, 2018/8/23 19:38:6, 354
154999, 1535053087, 2018/8/23 19:38:7, 272
155999, 1535053088, 2018/8/23 19:38:8, 240
156999, 1535053089, 2018/8/23 19:38:9, 12
158000, 1535053090, 2018/8/23 19:38:10, 0
158999, 1535053091, 2018/8/23 19:38:11, 0
160000, 1535053092, 2018/8/23 19:38:12, 242
160999, 1535053093, 2018/8/23 19:38:13, 193
161999, 1535053094, 2018/8/23 19:38:14, 0
162999, 1535053095, 2018/8/23 19:38:15, 0
163999, 1535053096, 2018/8/23 19:38:16, 151
165000, 1535053097, 2018/8/23 19:38:17, 207
165999, 1535053098, 2018/8/23 19:38:18, 185
167000, 1535053099, 2018/8/23 19:38:19, 182
167999, 1535053100, 2018/8/23 19:38:20, 199
168999, 1535053101, 2018/8/23 19:38:21, 111
169999, 1535053102, 2018/8/23 19:38:22, 33
170999, 1535053103, 2018/8/23 19:38:23, 0
171999, 1535053104, 2018/8/23 19:38:24, 0
172999, 1535053105, 2018/8/23 19:38:25, 35
174000, 1535053106, 2018/8/23 19:38:26, 0
174999, 1535053107, 2018/8/23 19:38:27, 159
176000, 1535053108, 2018/8/23 19:38:28, 204
176999, 1535053109, 2018/8/23 19:38:29, 254
177999, 1535053110, 2018/8/23 19:38:30, 332
178999, 1535053111, 2018/8/23 19:38:31, 402
179998, 1535053112, 2018/8/23 19:38:32, 467
180999, 1535053113, 2018/8/23 19:38:33, 483
181999, 1535053114, 2018/8/23 19:38:34, 483
182999, 1535053115, 2018/8/23 19:38:35, 466
183999, 1535053116, 2018/8/23 19:38:36, 413
184999, 1535053117, 2018/8/23 19:38:37, 364
185999, 1535053118, 2018/8/23 19:38:38, 374
186999, 1535053119, 2018/8/23 19:38:39, 378
187999, 1535053120, 2018/8/23 19:38:40, 334
188999, 1535053121, 2018/8/23 19:38:41, 207
190000, 1535053122, 2018/8/23 19:38:42, 219
190999, 1535053123, 2018/8/23 19:38:43, 216
192000, 1535053124, 2018/8/23 19:38:44, 201
192999, 1535053125, 2018/8/23 19:38:45, 214
193999, 1535053126, 2018/8/23 19:38:46, 221
194999, 1535053127, 2018/8/23 19:38:47, 205
195999, 1535053128, 2018/8/23 19:38:48, 144
196999, 1535053129, 2018/8/23 19:38:49, 89
197999, 1535053130, 2018/8/23 19:38:50, 120
198999, 1535053131, 2018/8/23 19:38:51, 67
199998, 1535053132, 2018/8/23 19:38:52, 0
200999, 1535053133, 2018/8/23 19:38:53, 0
201999, 1535053134, 2018/8/23 19:38:54, 110
202999, 1535053135, 2018/8/23 19:38:55, 165
203999, 1535053136, 2018/8/23 19:38:56, 201
204999, 1535053137, 2018/8/23 19:38:57, 241
205999, 1535053138, 2018/8/23 19:38:58, 520
206999, 1535053139, 2018/8/23 19:38:59, 531
207998, 1535053140, 2018/8/23 19:39:0, 527
208999, 1535053141, 2018/8/23 19:39:1, 527
209999, 1535053142, 2018/8/23 19:39:2, 505
210999, 1535053143, 2018/8/23 19:39:3, 494
211999, 1535053144, 2018/8/23 19:39:4, 491
212999, 1535053145, 2018/8/23 19:39:5, 483
213999, 1535053146, 2018/8/23 19:39:6, 478
214999, 1535053147, 2018/8/23 19:39:7, 464
215999, 1535053148, 2018/8/23 19:39:8, 438
216999, 1535053149, 2018/8/23 19:39:9, 399
217999, 1535053150, 2018/8/23 19:39:10, 295
218999, 1535053151, 2018/8/23 19:39:11, 249
219999, 1535053152, 2018/8/23 19:39:12, 196
